goat_pos,wolf_pos,cabbage_pos,farmer_pos,boat_pos,goat_life_status,cabbage_life_status,
bank1,bank1,bank1,boat,bank1,alive,alive,
boat,bank1,bank1,boat,bank1,alive,alive,
boat,bank1,bank1,boat,bank2,alive,alive,
boat,bank1,bank1,boat,bank2,alive,alive,
bank2,bank1,bank1,boat,bank2,alive,alive,
bank2,bank1,bank1,boat,bank2,alive,alive,
bank2,bank1,bank1,boat,bank1,alive,alive,
bank2,boat,bank1,boat,bank1,alive,alive,
bank2,boat,bank1,boat,bank2,alive,alive,
bank2,boat,bank1,boat,bank2,alive,alive,
bank2,bank2,bank1,boat,bank2,alive,alive,
boat,bank2,bank1,boat,bank2,alive,alive,
boat,bank2,bank1,boat,bank1,alive,alive,
bank1,bank2,boat,boat,bank1,alive,alive,
bank1,bank2,boat,boat,bank2,alive,alive,
bank1,bank2,boat,boat,bank2,alive,alive,
bank1,bank2,bank2,boat,bank2,alive,alive,
bank1,bank2,bank2,boat,bank2,alive,alive,
bank1,bank2,bank2,boat,bank1,alive,alive,
boat,bank2,bank2,boat,bank1,alive,alive,
boat,bank2,bank2,boat,bank2,alive,alive,
boat,bank2,bank2,boat,bank2,alive,alive,
bank2,bank2,bank2,boat,bank2,alive,alive,
